Job Id,Experience,Qualifications,Work Type,Job Title,Role,Job Description,Skills,Company
ea2403c5-48f4-4af9-a5bc-254c8f572cbb,3 to 12 Years,BA,Contract,Email Marketing Specialist,Deliverability Analyst,"Monitor and improve email deliverability rates, troubleshoot delivery issues, and maintain a clean email list.","Email deliverability best practices Spam filter testing List hygiene Blacklist monitoring Email authentication (e.g., SPF, DKIM) Deliverability metrics analysis Troubleshooting deliverability issues Communication skills Data analysis Attention to detail",3M
191a983e-e7b9-45b8-93f8-3d5cd1ab4efc,5 to 9 Years,PhD,Temporary,HR Generalist,HR Coordinator,"HR Coordinators assist in HR functions such as recruitment, onboarding, and employee record maintenance. They often handle administrative tasks, organize training programs, and provide support to the HR department in various ways.",Human resources Recruitment Employee onboarding HRIS (HR Information Systems) Record keeping Communication skills,KKR
b9a62c41-1160-463b-9f97-2cbbeb7c810d,0 to 15 Years,B.Tech,Full-Time,Legal Assistant,Legal Secretary,"Provide administrative support to legal professionals, manage schedules, draft documents, and handle correspondence.","Legal administrative tasks Document management Calendar and docketing Transcription File organization Communication with clients and courts Knowledge of legal terminology Attention to detail Multitasking Computer skills (e.g., MS Office)",NGL Energy Partners
ec796d82-b883-4433-94a9-80975ca75c25,0 to 10 Years,BCA,Intern,Nurse Practitioner,Family Nurse Practitioner,"Family Nurse Practitioners specialize in family-centered healthcare, providing comprehensive medical care to individuals of all ages within a family context.",Family medicine Health assessment Pediatric care Chronic disease management Patient education,EasyJet
85197944-4c27-4887-b538-6d87f0a2bb78,1 to 8 Years,M.Tech,Intern,Account Director,Account Strategist,"Account Strategists work in advertising or marketing agencies, managing client accounts. They develop strategies to meet client goals, oversee campaign execution, and maintain client satisfaction by providing expert guidance and solutions.",Account management Client relations Marketing strategies Campaign optimization Data analysis Communication skills,Otis Worldwide
85ab6797-0219-4ec9-9b69-9d9f2aa662c6,2 to 14 Years,PhD,Temporary,Software Engineer,Backend Developer,"A Backend Developer is tasked with building and maintaining the server-side logic and database infrastructure of web applications. They work on the core functionality, data storage, and server communication to ensure the application runs smoothly and efficiently.","Proficiency in one or more backend programming languages (e.g., Java, Python, Node.js, Ruby) API development Database management (SQL or NoSQL) Server management and deployment Security best practices Knowledge of web frameworks (e.g., Express, Django)",Oil Search
c7e2511f-0cd8-493c-8a14-665b2417893b,3 to 9 Years,MBA,Temporary,Purchasing Agent,Supply Chain Coordinator,"A Supply Chain Coordinator manages supply chain operations, coordinates logistics, and ensures the seamless flow of goods and materials throughout the supply chain network.",Supply chain logistics Inventory management Communication skills Problem-solving Vendor coordination,HCL Technologies
267a55cc-1977-480b-8ab4-23f9c77517c2,4 to 12 Years,BBA,Temporary,Purchasing Agent,Supply Chain Coordinator,"A Supply Chain Coordinator manages supply chain operations, coordinates logistics, and ensures the seamless flow of goods and materials throughout the supply chain network.",Supply chain logistics Inventory management Communication skills Problem-solving Vendor coordination,DTE Energy
e5cfef63-968f-4031-919a-54a399724abc,5 to 15 Years,M.Tech,Contract,Sales Consultant,B2B Sales Consultant,"B2B Sales Consultants specialize in business-to-business sales. They identify and target potential corporate clients, negotiate contracts, and build long-term relationships to drive sales growth in the B2B market.",B2B sales Business-to-business sales strategies Lead generation Sales negotiations Client relationship building Market research,Associated British Foods
410b74ad-4958-46da-8cb9-78ea93099056,4 to 15 Years,BA,Part-Time,Civil Engineer,Structural Engineer,"A Structural Engineer designs and analyzes the structural integrity of buildings, bridges, and other structures. They ensure safety and compliance with engineering standards.","Structural engineering principles Structural analysis and design software (e.g., AutoCAD, SAP2000) Building codes and standards Project management Structural integrity assessment",Xcel Energy
91d0c86c-1e29-485f-b34f-1645ea9a8858,0 to 12 Years,M.Com,Intern,Network Security Specialist,Security Operations Center (SOC) Analyst,"SOC Analysts work in security operations centers. They monitor and respond to security incidents, analyze threats, and implement security protocols to protect an organizations assets.","SOC operations Security incident response Threat detection Log analysis Security tools (e.g., IDS/IPS) Security alerts triage",Deutsche Post DHL Group
8ad27cc6-e73c-436e-b876-51d0777760d8,2 to 10 Years,BBA,Intern,UI Developer,Front-End Developer,A Front-End Developer specializes in creating the user interface and user experience of websites or applications. They code and design elements that users interact with directly.,"Front-end web development HTML, CSS, JavaScript Responsive design Web performance optimization Cross-browser compatibility",Bodycote
b1f9375f-8c73-44be-ae4e-5f5add93fa72,4 to 8 Years,BA,Intern,Financial Planner,Tax Planner,"Assist clients with tax planning, minimize tax liabilities, and stay up-to-date with tax laws and regulations.",Tax planning strategies Tax law knowledge Financial analysis Retirement planning Estate planning Client relationship management Tax optimization Communication skills Attention to detail Tax software proficiency Regulatory compliance,Old Republic International
e2b731a9-babb-4cdf-beda-8512a6c8204a,3 to 8 Years,BA,Part-Time,Event Planner,Event Coordinator,"Event Coordinators plan and execute various events, including conferences, parties, and meetings, managing logistics, budgets, and vendor relationships.",Event planning Vendor coordination Budget management Marketing and promotion Logistics,United Airlines Holdings
6723abff-7072-4a86-ac5b-e649ff8d45ab,1 to 14 Years,M.Com,Contract,Psychologist,Clinical Psychologist,"Clinical Psychologists diagnose and treat mental health disorders. They conduct therapy sessions, assessments, and research to improve patients well-being.",Clinical psychology Counseling skills Assessment tools Diagnostic skills Empathy and listening skills,Tenet Healthcare
1c02f1a4-d19f-4f56-b4c9-c416f85a4cac,1 to 13 Years,B.Com,Contract,Electrical Designer,Electrical Engineer,"Electrical Engineers design and develop electrical systems and devices. They work on projects such as power generation, electronics, and control systems for various industries.",Electrical engineering Circuit design Electronics AutoCAD proficiency Problem-solving,Regions Financial
f84e0b70-fd34-4ec9-ab63-ec89a90e996d,0 to 8 Years,M.Com,Temporary,Electrical Designer,Lighting Designer,"Lighting Designers create lighting plans for architectural and artistic purposes. They enhance spaces with lighting effects, aesthetics, and energy-efficient lighting solutions.",Lighting design Architectural lighting Lighting software proficiency Creative lighting concepts Technical knowledge,CBRE Group
b502ce62-31ce-4e96-b4ed-80946d4b4c19,3 to 10 Years,M.Com,Part-Time,Data Analyst,Business Intelligence Analyst,"Business Intelligence Analysts gather and analyze data to provide valuable insights to support decision-making within an organization. They create reports, dashboards, and data visualizations to help stakeholders understand trends, patterns, and opportunities in the data.","Data analysis and visualization tools (e.g., Tableau, Power BI) SQL and database querying Business intelligence concepts Data modeling and reporting Strong analytical and problem-solving skills Data-driven decision-making","Wyndham Hotels & Resorts, Inc."
a42a3f44-f79d-4126-bfcf-9844e43b883f,0 to 12 Years,PhD,Intern,Technical Writer,Content Writer,"Content Writers create written content for various platforms. They produce articles, blog posts, and web content to inform, educate, or entertain audiences.",Writing skills Content creation SEO knowledge Research skills Grammar and proofreading,Corning
0a93a442-9776-49a8-a18e-67c77f64b273,0 to 8 Years,BA,Temporary,UX/UI Designer,User Interface Designer,"User Interface Designers focus on the visual and interactive aspects of digital interfaces. They design layouts, buttons, and other elements to ensure a cohesive and visually appealing user interface.","UI design principles and best practices Graphic design tools (e.g., Adobe Photoshop, Illustrator) Typography and color theory Visual design and layout Responsive design",Leidos Holdings
3ca1688e-0763-4485-9dc8-83072d76bac2,4 to 12 Years,M.Com,Part-Time,Tax Consultant,Personal Tax Consultant,A Personal Tax Consultant provides tax planning and preparation services to individuals. They help clients optimize their tax situations while ensuring compliance with tax laws.,Tax law knowledge Individual tax planning Tax return preparation Tax deductions and credits Tax compliance IRS regulations Client relationship management Communication skills Attention to detail Tax software proficiency,Divi's Laboratories
64bebbc4-0eda-471c-a55d-c569cfb51296,5 to 10 Years,MBA,Full-Time,Software Tester,Automation Tester,An Automation Tester uses automated testing tools to verify the functionality and performance of software applications. They create and execute automated test scripts.,"Test automation tools (e.g., Selenium, Appium) Scripting languages (e.g., Python, Java) Test framework development Continuous integration tools Test data management",Tata Consumer Products
c34e9f23-7261-4f90-9a1b-042551a5860b,5 to 14 Years,BCA,Intern,Account Executive,Sales Account Executive,"A Sales Account Executive is responsible for acquiring and managing business accounts. They identify sales opportunities, negotiate contracts, and meet revenue targets.",Sales strategies and tactics Account management Relationship building Sales forecasting Industry and product knowledge,Fannie Mae
158938d0-5f94-43b4-8296-007d7ef539aa,2 to 13 Years,BCA,Part-Time,Systems Administrator,IT Support Specialist,"IT Support Specialists provide technical assistance to end-users, troubleshooting hardware and software problems, setting up equipment, and maintaining IT infrastructure.",Technical troubleshooting Hardware and software support Customer service Problem-solving Communication,Spotify Technology S.A.
9b31fb3f-cc4c-48a3-93aa-c35a52ae4010,4 to 9 Years,BA,Intern,Account Director,Account Strategist,"Account Strategists work in advertising or marketing agencies, managing client accounts. They develop strategies to meet client goals, oversee campaign execution, and maintain client satisfaction by providing expert guidance and solutions.",Account management Client relations Marketing strategies Campaign optimization Data analysis Communication skills,Bajaj Auto
688e76ec-1d45-40d9-94e5-5ec545351d3b,0 to 10 Years,PhD,Part-Time,Digital Marketing Specialist,Social Media Manager,"Social Media Managers oversee an organizations social media presence. They create and schedule content, engage with followers, and analyze social media metrics to drive brand awareness and engagement.","Social media platforms (e.g., Facebook, Twitter, Instagram) Content creation and scheduling Social media analytics and insights Community engagement Paid social advertising",Renishaw
f6ebeb16-0a64-4f2c-9a85-f4d7eae50da8,1 to 15 Years,BBA,Temporary,Database Administrator,Database Developer,"A Database Developer designs, develops, and maintains databases. They create efficient data structures, write queries, and ensure data security and integrity.","Database design and development SQL and database querying Data modeling Programming languages (e.g., Java, Python) Data security and privacy regulations knowledge",News Corp.
015488f3-c683-45ba-ae84-a08d636320ed,1 to 15 Years,B.Tech,Intern,Research Analyst,Social Science Researcher,"A Social Science Researcher conducts research in fields such as sociology, psychology, or anthropology to study human behavior and social phenomena, contributing to academic knowledge.","Social science research methods Qualitative and quantitative data analysis Survey design and implementation Ethnographic research Interviewing skills Research ethics Statistical software (e.g., Stata, NVivo) Report writing Communication skills Critical thinking Empathy",KKR
1b044db0-4a38-4418-b296-02d04c4e7069,3 to 9 Years,B.Tech,Temporary,Data Entry Clerk,Record Keeper,"A Record Keeper is responsible for maintaining accurate records and databases, ensuring data integrity, and assisting in data retrieval when needed.",Records management Data entry and retrieval Attention to detail,Arconic
e7997e07-c7ba-41b5-85bd-faedfabe3538,5 to 14 Years,MCA,Intern,Registered Nurse,Staff Nurse,"A Staff Nurse provides patient care, administers medications, and collaborates with healthcare teams to ensure the well-being of patients in clinical settings.",Nursing care Patient assessment Medical knowledge,"Revlon, Inc."
2c281358-92c1-4c7e-a7f8-9e78fd1fbc68,3 to 8 Years,BA,Temporary,Tax Consultant,International Tax Consultant,"An International Tax Consultant focuses on tax matters related to international business operations, ensuring compliance with global tax laws and optimizing tax structures.",International tax law knowledge Transfer pricing Cross-border tax planning Tax treaties and agreements Foreign tax credits International tax compliance Transfer pricing documentation Multinational tax strategies Client relationship management Communication skills Tax software proficiency,Dow
43053753-6fdc-4a5f-8132-6ac0b660684b,4 to 8 Years,MCA,Temporary,Investment Analyst,Risk Analyst,A Risk Analyst assesses and manages financial risks within an organization. They use data analysis and modeling to evaluate potential risks and recommend mitigation strategies.,Risk assessment Data analysis Financial modeling Risk management tools Regulatory compliance knowledge,Seaboard
cb8cd23a-1c4b-4385-a3bc-45223f0c15d7,5 to 10 Years,M.Com,Temporary,Speech Therapist,Speech Pathologist,"Speech Pathologists diagnose and treat speech, language, and swallowing disorders in patients of all ages. They develop personalized treatment plans to improve communication.",Speech pathology Articulation therapy Language disorders Speech assessment Therapy planning Communication skills,Philip Morris International
ba100813-8be7-4247-b009-a8136389f25e,4 to 8 Years,B.Com,Contract,Sales Manager,Regional Sales Director,"Oversee sales operations within a specific region, develop sales plans, and manage regional sales teams.",Sales strategy development Territory management Sales team leadership,Enterprise Products Partners
c69a70cd-3cbe-4963-b0d6-8e0a56bbf587,4 to 10 Years,BCA,Full-Time,Social Worker,Mental Health Counselor,"Offer counseling and therapy services to individuals, couples, or groups, helping them address mental health concerns.",Counseling techniques Psychotherapy Mental health assessment Treatment planning Crisis intervention Ethical standards Empathy and active listening Cultural competence Documentation Communication skills Self-care Licensing and certification,Bayer AG
cf92e9f2-840f-45f1-a1d8-fba14cc09226,5 to 12 Years,PhD,Part-Time,Nurse Practitioner,Family Nurse Practitioner,"Family Nurse Practitioners specialize in family-centered healthcare, providing comprehensive medical care to individuals of all ages within a family context.",Family medicine Health assessment Pediatric care Chronic disease management Patient education,Carrier Global
8c5fb5e4-04c4-4932-8c37-f1214d96cf47,0 to 13 Years,B.Com,Temporary,Landscape Architect,Urban Planner,"Develop and implement urban planning strategies, manage land use, and ensure sustainable city development.",Urban design and planning Zoning regulations GIS and mapping tools,UnitedHealth Group
38253283-41fb-40e4-8762-46d13985f777,5 to 15 Years,B.Tech,Temporary,Key Account Manager,Strategic Account Manager,"Strategic Account Managers nurture relationships with key clients. They develop account strategies, address client needs, and seek opportunities for business growth and expansion.",Account management Client relationship Sales strategy Business development Negotiation skills,Avnet
84744b62-004d-4d7e-9049-d1cae9c60fe4,4 to 14 Years,B.Tech,Intern,UX Researcher,User Researcher,"Conduct user research to understand customer needs, preferences, and behaviors to inform product development.",User research methods Usability testing Data analysis and interpretation,UGI
76d10a53-2e87-46d5-858d-320d5c94ce31,4 to 11 Years,BA,Temporary,Account Manager,Sales Account Manager,"A Sales Account Manager is responsible for building and maintaining relationships with clients, identifying their needs, and proposing tailored solutions to achieve sales targets.",Account management Sales strategy Negotiation and closing skills,Disney+
1093b7e9-80c9-4262-9873-6e8cfb35b147,2 to 10 Years,B.Com,Part-Time,Investment Banker,Financial Analyst,"A Financial Analyst conducts financial analysis, generates reports, and provides insights to support decision-making, budgeting, and financial planning.",Financial analysis Data analysis Financial modeling,General Electric
c492808c-7bc7-4714-a674-9606d206c44c,2 to 9 Years,BBA,Intern,IT Support Specialist,Desktop Support Technician,"Desktop Support Technicians troubleshoot and maintain desktop computer systems, resolving hardware and software problems for users.","Desktop hardware and software troubleshooting Operating system expertise (e.g., Windows, macOS) Remote desktop support Hardware and software upgrades Customer service skills",Brighthouse Financial
cd10b033-8c39-4c66-8595-8853ae3c5d82,3 to 12 Years,BA,Temporary,Art Director,Art Curator,"An Art Curator is responsible for managing and preserving a collection of artworks. They curate exhibitions, acquire new pieces, and educate the public about the art.",Art history and knowledge Art curation and exhibition planning Collections management Art market trends Cultural awareness,Deutsche Pfandbriefbank AG
e6354052-c433-4a84-a3be-d3fb763f348f,5 to 12 Years,PhD,Full-Time,Account Executive,Sales Account Executive,"A Sales Account Executive is responsible for acquiring and managing business accounts. They identify sales opportunities, negotiate contracts, and meet revenue targets.",Sales strategies and tactics Account management Relationship building Sales forecasting Industry and product knowledge,GlaxoSmithKline
f222b516-c9f8-4fa3-87bb-5da8b948f850,0 to 11 Years,M.Tech,Contract,Software Developer,Mobile App Developer,Mobile App Developers design and develop mobile applications for various platforms. They collaborate with cross-functional teams to create user-friendly and functional mobile apps that meet user needs.,"Mobile app development languages (e.g., Java, Swift, Kotlin) Cross-platform development (e.g., React Native, Flutter) Mobile app design principles APIs and web services integration Debugging and troubleshooting",Starbucks
df6e9226-db59-4506-98a4-28b2b55cf2a4,1 to 11 Years,BCA,Intern,Project Manager,Agile Project Manager,"The Agile Project Manager leads Agile teams, facilitating effective project development and delivery. They use Agile methodologies to manage tasks, prioritize work, and adapt to changing requirements while fostering collaboration among team members.","Agile methodologies Scrum or Kanban Team collaboration Agile tools (e.g., Jira)",Hindalco Industries
ce5b90aa-4fef-437e-8cb1-bffaa9c81b44,4 to 13 Years,MCA,Full-Time,Civil Engineer,Structural Engineer,"A Structural Engineer designs and analyzes the structural integrity of buildings, bridges, and other structures. They ensure safety and compliance with engineering standards.","Structural engineering principles Structural analysis and design software (e.g., AutoCAD, SAP2000) Building codes and standards Project management Structural integrity assessment",Lincoln National
358b614d-0422-4979-b399-3a9fbeff33e0,0 to 8 Years,BCA,Part-Time,Customer Service Manager,Service Quality Assurance Manager,"Service Quality Assurance Managers monitor and evaluate service quality in an organization. They develop quality standards, conduct audits, analyze customer feedback, and implement improvements to ensure consistent high-quality service delivery.",Quality assurance Quality control Process improvement Audit procedures Compliance standards Root cause analysis,HCL Technologies
1ea70afe-95ab-4c27-9ec7-8e7db8b71702,4 to 13 Years,MBA,Full-Time,Procurement Manager,Procurement Analyst,"Analyze procurement data, identify cost-saving opportunities, and support the procurement process.",Procurement processes Vendor assessment Contract negotiation Purchase order management Spend analysis Market research Supplier relationship management Data analysis Problem-solving Attention to detail Communication skills Financial acumen,Nestle India
d561f071-e44e-4378-85e6-333c1045dd9f,3 to 10 Years,B.Com,Intern,Substance Abuse Counselor,Family Counselor,"A Family Counselor works with families to address interpersonal issues, improve communication, and resolve conflicts, fostering healthier family dynamics.",Family counseling Marriage and family therapy Conflict resolution skills,Electrocomponents
4239b550-bc38-48ab-9a0b-b1fe0aec8531,1 to 15 Years,MCA,Intern,Supply Chain Analyst,Logistics Analyst,"A Logistics Analyst analyzes and optimizes logistics and supply chain operations, identifying cost-saving opportunities, improving transportation efficiency, and enhancing supply chain performance.",Supply chain analysis Data analytics Inventory management Transportation planning Problem-solving,Community Health Systems
164fc451-eff8-4827-a097-dd83ee9a4957,0 to 9 Years,B.Tech,Intern,Data Engineer,Data Architect,"A Data Architect designs and manages data infrastructure, ensuring data availability, security, and integrity while aligning data systems with business goals and requirements.",Data architecture design Database management systems Data modeling,Equitable Holdings
e193b83f-6597-4e8a-8767-528280146bb9,3 to 9 Years,MCA,Part-Time,Sales Manager,Regional Sales Director,"Oversee sales operations within a specific region, develop sales plans, and manage regional sales teams.",Sales strategy development Territory management Sales team leadership,Bajaj Finserv
b45eea67-cd35-4937-88fa-af34cc8e1e37,5 to 8 Years,BBA,Contract,Supply Chain Analyst,Logistics Analyst,"A Logistics Analyst analyzes and optimizes logistics and supply chain operations, identifying cost-saving opportunities, improving transportation efficiency, and enhancing supply chain performance.",Supply chain analysis Data analytics Inventory management Transportation planning Problem-solving,PulteGroup
2088d7cc-c5fe-4c1e-8962-9c6664518c6b,5 to 14 Years,BA,Part-Time,UX/UI Designer,User Interface Designer,"User Interface Designers focus on the visual and interactive aspects of digital interfaces. They design layouts, buttons, and other elements to ensure a cohesive and visually appealing user interface.","UI design principles and best practices Graphic design tools (e.g., Adobe Photoshop, Illustrator) Typography and color theory Visual design and layout Responsive design",Stockland Corporation
ea93abd9-0d35-4c91-8d2c-93cf92f4ec7d,2 to 12 Years,BA,Contract,Software Tester,Quality Assurance Analyst,"A Quality Assurance Analyst tests software and products to ensure they meet quality standards. They identify defects, report issues, and work with development teams to resolve problems.","Quality assurance processes Testing methodologies (e.g., manual, automated) Bug tracking and reporting Test case development Regression testing",Group 1 Automotive
2adb3a06-bbb9-4f30-b5a1-f9e7c0c24a20,1 to 9 Years,MCA,Contract,Software Tester,Quality Assurance Analyst,"A Quality Assurance Analyst tests software and products to ensure they meet quality standards. They identify defects, report issues, and work with development teams to resolve problems.","Quality assurance processes Testing methodologies (e.g., manual, automated) Bug tracking and reporting Test case development Regression testing",Altria Group
e6c55316-bc3f-4e27-b272-3bffbca727e2,1 to 10 Years,B.Com,Full-Time,Technical Writer,Documentation Specialist,"Documentation Specialists create and manage documents, manuals, or technical materials. They ensure accuracy, consistency, and accessibility of documentation.",Document management Recordkeeping Attention to detail Data entry Organizational skills,Reynolds American Inc.
9db270d9-2912-4232-b83e-c7b847de69c0,1 to 8 Years,BA,Full-Time,Accountant,Financial Accountant,"Financial Accountants handle financial records, prepare financial statements, and ensure compliance with accounting standards. They analyze financial data to provide accurate financial reports and support decision-making within the organization.","Financial reporting Accounting software (e.g., QuickBooks) Auditing GAAP knowledge",Huntsman
ecfae9da-be21-4033-872d-8a88d6d46583,4 to 8 Years,PhD,Contract,Sales Representative,Inside Sales Representative,"Inside Sales Representatives are responsible for selling products or services to customers over the phone or through online channels. They engage with leads, answer customer inquiries, and use persuasive communication to close sales and meet revenue targets.","Sales prospecting and lead generation Sales presentation and communication CRM software (e.g., Salesforce) Sales negotiation and closing techniques Product knowledge Relationship building",McDonald's
f12ce6d7-0df7-4f6b-ab6c-928e9362ff2e,4 to 11 Years,B.Com,Contract,Key Account Manager,Strategic Account Manager,"Strategic Account Managers nurture relationships with key clients. They develop account strategies, address client needs, and seek opportunities for business growth and expansion.",Account management Client relationship Sales strategy Business development Negotiation skills,Republic Services
bf20c2e5-f010-42f2-a58a-90ef6687f340,2 to 15 Years,BBA,Intern,Network Administrator,Network Security Analyst,"Protect an organizations computer networks and systems from security threats, monitor network traffic, and respond to incidents.",Network security protocols Intrusion detection and prevention Security incident response Firewall administration Vulnerability assessment Security policies and procedures Log analysis Ethical hacking Problem-solving Communication skills Attention to detail,Republic Services
571b8007-ab51-42ef-88ec-2dbb32faf82d,4 to 11 Years,PhD,Intern,Purchasing Agent,Inventory Manager,"An Inventory Manager oversees inventory levels, coordinates stock movements, and optimizes inventory control procedures to ensure efficient stock management and product availability.",Inventory control Demand forecasting Supply chain management Data analysis Warehouse management,Continental AG
30207397-1214-4cdf-9cf7-ada20a19c039,1 to 14 Years,BCA,Contract,QA Analyst,Automation Test Engineer,Automation Test Engineers develop automated test scripts and frameworks to streamline and enhance the testing process. They focus on automating repetitive tests to improve efficiency and maintain test consistency.,"Test automation Test framework development Continuous integration Scripting languages (e.g., Python) Test reporting Code review",Tesla
